Age,Salary
11,283
11,344
12,375
6,43
13,881
3,458
1,467
0,928
13,883
9,502
0,235
10,65
11,753
10,619
0,549
5,516
3,459
1,258
10,699
14,874
14,187
4,876
9,268
12,622
13,471
3,914
15,423
15,656
2,129
12,141
30,1113
29,1127
26,819
25,1295
27,1268
24,14
24,682
29,1096
32,1287
31,1219
27,1151
27,895
29,1035
28,952
24,1094
27,793
32,1183
27,1201
32,715
24,764
24,1238
24,815
27,843
31,75
25,1386
30,666
32,1119
29,1126
25,737
26,881
5,1946
14,1662
6,158
4,1972
10,1715
1,1644
2,166
6,1586
16,1803
13,198
3,1569
16,1827
1,1954
3,1788
16,1554
13,1587
13,1952
2,1686
11,1735
8,1957
16,1764
10,1529
16,1726
13,1763
10,1741
0,196
15,1821
10,1524
15,1581
7,1898
